 ssid      name                                 ss created           ss completed     volume         pool              size  lvl
1766789087 RMAN:Manthan_rman_MANTHAN_11_08_2019_kuu8t69k_1_1.bkp 11-08-2019 00:11:35 11-08-2019 00:12:14 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 37 MB full
1766789087 RMAN:Manthan_rman_MANTHAN_11_08_2019_kuu8t69k_1_1.bkp 11-08-2019 00:11:35 11-08-2019 00:12:14 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 37 MB full
1750011915 RMAN:Manthan_rman_MANTHAN_11_08_2019_kvu8t6b1_1_1.bkp 11-08-2019 00:12:19 11-08-2019 00:15:18 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 5114 MB full
1750011915 RMAN:Manthan_rman_MANTHAN_11_08_2019_kvu8t6b1_1_1.bkp 11-08-2019 00:12:19 11-08-2019 00:15:18 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 5114 MB full
1733234725 RMAN:Manthan_rman_MANTHAN_11_08_2019_l0u8t6bq_1_1.bkp 11-08-2019 00:12:45 11-08-2019 00:15:51 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 5242 MB full
1733234725 RMAN:Manthan_rman_MANTHAN_11_08_2019_l0u8t6bq_1_1.bkp 11-08-2019 00:12:45 11-08-2019 00:15:51 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 5242 MB full
1716457614 RMAN:Manthan_rman_MANTHAN_11_08_2019_l1u8t6f3_1_1.bkp 11-08-2019 00:14:30 11-08-2019 00:15:04 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 1281 KB full
1716457614 RMAN:Manthan_rman_MANTHAN_11_08_2019_l1u8t6f3_1_1.bkp 11-08-2019 00:14:30 11-08-2019 00:15:04 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 1281 KB full
1666126011 RMAN:Manthan_rman_MANTHAN_11_08_2019_l2u8t6gg_1_1.bkp 11-08-2019 00:15:15 11-08-2019 00:19:28 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 5239 MB full
1666126011 RMAN:Manthan_rman_MANTHAN_11_08_2019_l2u8t6gg_1_1.bkp 11-08-2019 00:15:15 11-08-2019 00:19:28 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 5239 MB full
